"","Word","Lexeme","Person","Number","Tense","Voice","Mood"
"517","carperer","carpere","p1","sg","past","passive","subj"
"518","carpereeris","carpere","p2","sg","past","passive","subj"
"519","carpereetur","carpere","p3","sg","past","passive","subj"
"520","carpereemur","carpere","p1","pl","past","passive","subj"
"521","carpereeminii","carpere","p2","pl","past","passive","subj"
"522","carperentur","carpere","p3","pl","past","passive","subj"
"523","currerer","currere","p1","sg","past","passive","subj"
"524","currereeris","currere","p2","sg","past","passive","subj"
"525","currereetur","currere","p3","sg","past","passive","subj"
"526","currereemur","currere","p1","pl","past","passive","subj"
"527","currereeminii","currere","p2","pl","past","passive","subj"
"528","currerentur","currere","p3","pl","past","passive","subj"
"529","vocaaverim","vocare","p1","sg","perfect","active","subj"
"530","vocaaveris","vocare","p2","sg","perfect","active","subj"
"531","vocaaverit","vocare","p3","sg","perfect","active","subj"
"532","vocaaverimus","vocare","p1","pl","perfect","active","subj"
"533","vocaaveritis","vocare","p2","pl","perfect","active","subj"
"534","vocaaverint","vocare","p3","pl","perfect","active","subj"
"535","clamaaverim","clamare","p1","sg","perfect","active","subj"
"536","clamaaveris","clamare","p2","sg","perfect","active","subj"
"537","clamaaverit","clamare","p3","sg","perfect","active","subj"
"538","clamaaverimus","clamare","p1","pl","perfect","active","subj"
"539","clamaaveritis","clamare","p2","pl","perfect","active","subj"
"540","clamaaverint","clamare","p3","pl","perfect","active","subj"
"541","terruerim","terrere","p1","sg","perfect","active","subj"
"542","terrueris","terrere","p2","sg","perfect","active","subj"
"543","terruerit","terrere","p3","sg","perfect","active","subj"
"544","terruerimus","terrere","p1","pl","perfect","active","subj"
"545","terrueritis","terrere","p2","pl","perfect","active","subj"
"546","terruerint","terrere","p3","pl","perfect","active","subj"
"547","docuerim","docere","p1","sg","perfect","active","subj"
"548","docueris","docere","p2","sg","perfect","active","subj"
"549","docuerit","docere","p3","sg","perfect","active","subj"
"550","docuerimus","docere","p1","pl","perfect","active","subj"
"551","docueritis","docere","p2","pl","perfect","active","subj"
"552","docuerint","docere","p3","pl","perfect","active","subj"
"553","audiiverim","audire","p1","sg","perfect","active","subj"
"554","audiiveris","audire","p2","sg","perfect","active","subj"
"555","audiiverit","audire","p3","sg","perfect","active","subj"
"556","audiiverimus","audire","p1","pl","perfect","active","subj"
"557","audiiveritis","audire","p2","pl","perfect","active","subj"
"558","audiiverint","audire","p3","pl","perfect","active","subj"
"559","sapiiverim","sapire","p1","sg","perfect","active","subj"
"560","sapiiveris","sapire","p2","sg","perfect","active","subj"
"561","sapiiverit","sapire","p3","sg","perfect","active","subj"
"562","sapiiverimus","sapire","p1","pl","perfect","active","subj"
"563","sapiiveritis","sapire","p2","pl","perfect","active","subj"
"564","sapiiverint","sapire","p3","pl","perfect","active","subj"
"565","carpserim","carpere","p1","sg","perfect","active","subj"
"566","carpseris","carpere","p2","sg","perfect","active","subj"
"567","carpserit","carpere","p3","sg","perfect","active","subj"
"568","carpserimus","carpere","p1","pl","perfect","active","subj"
"569","carpseritis","carpere","p2","pl","perfect","active","subj"
"570","carpserint","carpere","p3","pl","perfect","active","subj"
"571","cuccurerim","currere","p1","sg","perfect","active","subj"
"572","cuccureris","currere","p2","sg","perfect","active","subj"
"573","cuccurerit","currere","p3","sg","perfect","active","subj"
"574","cuccurerimus","currere","p1","pl","perfect","active","subj"
"575","cuccureritis","currere","p2","pl","perfect","active","subj"
"576","cuccurerint","currere","p3","pl","perfect","active","subj"
"577","vocaaveram","vocare","p1","sg","pluperfect","active","ind"
"578","vocaaveraas","vocare","p2","sg","pluperfect","active","ind"
"579","vocaaverat","vocare","p3","sg","pluperfect","active","ind"
"580","vocaaveraamus","vocare","p1","pl","pluperfect","active","ind"
"581","vocaaveraatis","vocare","p2","pl","pluperfect","active","ind"
"582","vocaaverant","vocare","p3","pl","pluperfect","active","ind"
"583","clamaaveram","clamare","p1","sg","pluperfect","active","ind"
"584","clamaaveraas","clamare","p2","sg","pluperfect","active","ind"
"585","clamaaverat","clamare","p3","sg","pluperfect","active","ind"
"586","clamaaveraamus","clamare","p1","pl","pluperfect","active","ind"
"587","clamaaveraatis","clamare","p2","pl","pluperfect","active","ind"
"588","clamaaverant","clamare","p3","pl","pluperfect","active","ind"
"589","terrueram","terrere","p1","sg","pluperfect","active","ind"
"590","terrueraas","terrere","p2","sg","pluperfect","active","ind"
"591","terruerat","terrere","p3","sg","pluperfect","active","ind"
"592","terrueraamus","terrere","p1","pl","pluperfect","active","ind"
"593","terrueraatis","terrere","p2","pl","pluperfect","active","ind"
"594","terruerant","terrere","p3","pl","pluperfect","active","ind"
"595","docueram","docere","p1","sg","pluperfect","active","ind"
"596","docueraas","docere","p2","sg","pluperfect","active","ind"
"597","docuerat","docere","p3","sg","pluperfect","active","ind"
"598","docueraamus","docere","p1","pl","pluperfect","active","ind"
"599","docueraatis","docere","p2","pl","pluperfect","active","ind"
"600","docuerant","docere","p3","pl","pluperfect","active","ind"
"601","audiiveram","audire","p1","sg","pluperfect","active","ind"
"602","audiiveraas","audire","p2","sg","pluperfect","active","ind"
"603","audiiverat","audire","p3","sg","pluperfect","active","ind"
"604","audiiveraamus","audire","p1","pl","pluperfect","active","ind"
"605","audiiveraatis","audire","p2","pl","pluperfect","active","ind"
"606","audiiverant","audire","p3","pl","pluperfect","active","ind"
"607","sapiiveram","sapire","p1","sg","pluperfect","active","ind"
"608","sapiiveraas","sapire","p2","sg","pluperfect","active","ind"
"609","sapiiverat","sapire","p3","sg","pluperfect","active","ind"
"610","sapiiveraamus","sapire","p1","pl","pluperfect","active","ind"
"611","sapiiveraatis","sapire","p2","pl","pluperfect","active","ind"
"612","sapiiverant","sapire","p3","pl","pluperfect","active","ind"
"613","carpseram","carpere","p1","sg","pluperfect","active","ind"
"614","carpseraas","carpere","p2","sg","pluperfect","active","ind"
"615","carpserat","carpere","p3","sg","pluperfect","active","ind"
"616","carpseraamus","carpere","p1","pl","pluperfect","active","ind"
"617","carpseraatis","carpere","p2","pl","pluperfect","active","ind"
"618","carpserant","carpere","p3","pl","pluperfect","active","ind"
"619","cuccureram","currere","p1","sg","pluperfect","active","ind"
"620","cuccureraas","currere","p2","sg","pluperfect","active","ind"
"621","cuccurerat","currere","p3","sg","pluperfect","active","ind"
"622","cuccureraamus","currere","p1","pl","pluperfect","active","ind"
"623","cuccureraatis","currere","p2","pl","pluperfect","active","ind"
"624","cuccurerant","currere","p3","pl","pluperfect","active","ind"
"625","vocaavissem","vocare","p1","sg","pluperfect","active","subj"
"626","vocaavissees","vocare","p2","sg","pluperfect","active","subj"
"627","vocaavisset","vocare","p3","sg","pluperfect","active","subj"
"628","vocaavisseemus","vocare","p1","pl","pluperfect","active","subj"
"629","vocaavisseetis","vocare","p2","pl","pluperfect","active","subj"
"630","vocaavissent","vocare","p3","pl","pluperfect","active","subj"
"631","clamaavissem","clamare","p1","sg","pluperfect","active","subj"
"632","clamaavissees","clamare","p2","sg","pluperfect","active","subj"
"633","clamaavisset","clamare","p3","sg","pluperfect","active","subj"
"634","clamaavisseemus","clamare","p1","pl","pluperfect","active","subj"
"635","clamaavisseetis","clamare","p2","pl","pluperfect","active","subj"
"636","clamaavissent","clamare","p3","pl","pluperfect","active","subj"
"637","terruissem","terrere","p1","sg","pluperfect","active","subj"
"638","terruissees","terrere","p2","sg","pluperfect","active","subj"
"639","terruisset","terrere","p3","sg","pluperfect","active","subj"
"640","terruisseemus","terrere","p1","pl","pluperfect","active","subj"
"641","terruisseetis","terrere","p2","pl","pluperfect","active","subj"
"642","terruissent","terrere","p3","pl","pluperfect","active","subj"
"643","docuissem","docere","p1","sg","pluperfect","active","subj"
"644","docuissees","docere","p2","sg","pluperfect","active","subj"
"645","docuisset","docere","p3","sg","pluperfect","active","subj"
"646","docuisseemus","docere","p1","pl","pluperfect","active","subj"
"647","docuisseetis","docere","p2","pl","pluperfect","active","subj"
"648","docuissent","docere","p3","pl","pluperfect","active","subj"
"649","audiivissem","audire","p1","sg","pluperfect","active","subj"
"650","audiivissees","audire","p2","sg","pluperfect","active","subj"
"651","audiivisset","audire","p3","sg","pluperfect","active","subj"
"652","audiivisseemus","audire","p1","pl","pluperfect","active","subj"
"653","audiivisseetis","audire","p2","pl","pluperfect","active","subj"
"654","audiivissent","audire","p3","pl","pluperfect","active","subj"
"655","sapiivissem","sapire","p1","sg","pluperfect","active","subj"
"656","sapiivissees","sapire","p2","sg","pluperfect","active","subj"
"657","sapiivisset","sapire","p3","sg","pluperfect","active","subj"
"658","sapiivisseemus","sapire","p1","pl","pluperfect","active","subj"
"659","sapiivisseetis","sapire","p2","pl","pluperfect","active","subj"
"660","sapiivissent","sapire","p3","pl","pluperfect","active","subj"
"661","carpsissem","carpere","p1","sg","pluperfect","active","subj"
"662","carpsissees","carpere","p2","sg","pluperfect","active","subj"
"663","carpsisset","carpere","p3","sg","pluperfect","active","subj"
"664","carpsisseemus","carpere","p1","pl","pluperfect","active","subj"
"665","carpsisseetis","carpere","p2","pl","pluperfect","active","subj"
"666","carpsissent","carpere","p3","pl","pluperfect","active","subj"
"667","cuccurissem","currere","p1","sg","pluperfect","active","subj"
"668","cuccurissees","currere","p2","sg","pluperfect","active","subj"
"669","cuccurisset","currere","p3","sg","pluperfect","active","subj"
"670","cuccurisseemus","currere","p1","pl","pluperfect","active","subj"
"671","cuccurisseetis","currere","p2","pl","pluperfect","active","subj"
"672","cuccurissent","currere","p3","pl","pluperfect","active","subj"
