"","Orthography","Lexeme","Tense","Aspect","Person","Number","Gender","Class","Mood","Phon","Phon2","Syllables"
"189","nous accompagnerons","accompagner","futur",NA,"p1","plural","common","action","indicative","nus_ak§paN°R§","nusak§paN°R§","nu-sa-k§-pa-N°-R§"
"190","vous accompagnerez","accompagner","futur",NA,"p2","plural","common","action","indicative","vus_ak§paN°Re","vusak§paN°Re","vu-sa-k§-pa-N°-Re"
"191","ils accompagneront","accompagner","futur",NA,"p3","plural","masculin","action","indicative","ils_ak§paN°R§","ilsak§paN°R§","il-sa-k§-pa-N°-R§"
"192","elles accompagneront","accompagner","futur",NA,"p3","plural","feminin","action","indicative","Els_ak§paN°R§","Elsak§paN°R§","El-sa-k§-pa-N°-R§"
"193","j'ai accompagné","accompagner","present","perfect","p1","singular","common","action","indicative","ZE_ak§paNe","ZEak§paNe","ZE-a-k§-pa-Ne"
"194","tu as accompagné","accompagner","present","perfect","p2","singular","common","action","indicative","tya_ak§paNe","tyaak§paNe","ty-a-a-k§-pa-Ne"
"195","il a accompagné","accompagner","present","perfect","p3","singular","masculin","action","indicative","ila_ak§paNe","ilaak§paNe","i-la-a-k§-pa-Ne"
"196","elle a accompagné","accompagner","present","perfect","p3","singular","feminin","action","indicative","Ela_ak§paNe","Elaak§paNe","E-la-a-k§-pa-Ne"
"197","nous avons accompagné","accompagner","present","perfect","p1","plural","common","action","indicative","nusav§_ak§paNe","nusav§ak§paNe","nu-sa-v§-a-k§-pa-Ne"
"198","vous avez accompagné","accompagner","present","perfect","p2","plural","common","action","indicative","vusave_ak§paNe","vusaveak§paNe","vu-sa-ve-a-k§-pa-Ne"
"199","ils ont accompagné","accompagner","present","perfect","p3","plural","masculin","action","indicative","ils§_ak§paNe","ils§ak§paNe","il-s§-a-k§-pa-Ne"
